ds,y
2022-01-01,283
2022-01-02,180
2022-01-03,208
2022-01-04,255
2022-01-05,306
2022-01-06,233
2022-01-07,296
2022-01-08,236
2022-01-09,234
2022-01-10,265
2022-01-11,257
2022-01-12,250
2022-01-13,268
2022-01-14,289
2022-01-15,236
2022-01-16,266
2022-01-17,203
2022-01-18,258
2022-01-19,255
2022-01-20,246
2022-01-21,288
2022-01-22,267
2022-01-23,229
2022-01-24,238
2022-01-25,235
2022-01-26,266
2022-01-27,272
2022-01-28,283
2022-01-29,276
2022-01-30,224
2022-01-31,312
2022-02-01,274
2022-02-02,268
2022-02-03,248
2022-02-04,288
2022-02-05,295
2022-02-06,270
2022-02-07,276
2022-02-08,279
2022-02-09,272
2022-02-10,302
2022-02-11,319
2022-02-12,237
2022-02-13,229
2022-02-14,305
2022-02-15,289
2022-02-16,278
2022-02-17,267
2022-02-18,279
2022-02-19,237
2022-02-20,245
2022-02-21,194
2022-02-22,244
2022-02-23,253
2022-02-24,223
2022-02-25,251
2022-02-26,247
2022-02-27,244
2022-02-28,278
2022-03-01,248
2022-03-02,246
2022-03-03,318
2022-03-04,328
2022-03-05,259
2022-03-06,237
2022-03-07,329
2022-03-08,259
2022-03-09,286
2022-03-10,268
2022-03-11,329
2022-03-12,253
2022-03-13,274
2022-03-14,311
2022-03-15,295
2022-03-16,311
2022-03-17,279
2022-03-18,362
2022-03-19,287
2022-03-20,259
2022-03-21,293
2022-03-22,290
2022-03-23,273
2022-03-24,266
2022-03-25,307
2022-03-26,288
2022-03-27,267
2022-03-28,299
2022-03-29,272
2022-03-30,285
2022-03-31,282
2022-04-01,290
2022-04-02,277
2022-04-03,257
2022-04-04,289
2022-04-05,252
2022-04-06,253
2022-04-07,283
2022-04-08,343
2022-04-09,293
2022-04-10,285
2022-04-11,283
2022-04-12,312
2022-04-13,296
2022-04-14,331
2022-04-15,292
2022-04-16,282
2022-04-17,241
2022-04-18,239
2022-04-19,256
2022-04-20,283
2022-04-21,237
2022-04-22,276
2022-04-23,285
2022-04-24,271
2022-04-25,256
2022-04-26,244
2022-04-27,314
2022-04-28,348
2022-04-29,361
2022-04-30,321
2022-05-01,278
2022-05-02,282
2022-05-03,282
2022-05-04,251
2022-05-05,352
2022-05-06,365
2022-05-07,293
2022-05-08,260
2022-05-09,295
2022-05-10,296
2022-05-11,300
2022-05-12,308
2022-05-13,332
2022-05-14,277
2022-05-15,306
2022-05-16,298
2022-05-17,315
2022-05-18,336
2022-05-19,321
2022-05-20,324
2022-05-21,349
2022-05-22,319
2022-05-23,334
2022-05-24,278
2022-05-25,304
2022-05-26,310
2022-05-27,315
2022-05-28,293
2022-05-29,282
2022-05-30,255
2022-05-31,354
2022-06-01,312
2022-06-02,317
2022-06-03,320
2022-06-04,300
2022-06-05,299
2022-06-06,311
2022-06-07,307
2022-06-08,311
2022-06-09,317
2022-06-10,366
2022-06-11,308
2022-06-12,275
2022-06-13,319
2022-06-14,315
2022-06-15,361
2022-06-16,302
2022-06-17,369
2022-06-18,317
2022-06-19,305
2022-06-20,281
2022-06-21,317
2022-06-22,265
2022-06-23,298
2022-06-24,355
2022-06-25,364
2022-06-26,343
2022-06-27,303
2022-06-28,295
2022-06-29,304
2022-06-30,322
2022-07-01,316
2022-07-02,276
2022-07-03,250
2022-07-04,255
2022-07-05,283
2022-07-06,290
2022-07-07,285
2022-07-08,297
2022-07-09,259
2022-07-10,250
2022-07-11,279
2022-07-12,267
2022-07-13,307
2022-07-14,271
2022-07-15,312
2022-07-16,277
2022-07-17,281
2022-07-18,303
2022-07-19,292
2022-07-20,290
2022-07-21,297
2022-07-22,334
2022-07-23,305
2022-07-24,265
2022-07-25,279
2022-07-26,276
2022-07-27,287
2022-07-28,298
2022-07-29,310
2022-07-30,306
2022-07-31,288
2022-08-01,294
2022-08-02,293
2022-08-03,324
2022-08-04,299
2022-08-05,323
2022-08-06,313
2022-08-07,267
2022-08-08,318
2022-08-09,284
2022-08-10,262
2022-08-11,287
2022-08-12,351
2022-08-13,307
2022-08-14,305
2022-08-15,241
2022-08-16,291
2022-08-17,261
2022-08-18,283
2022-08-19,286
2022-08-20,310
2022-08-21,272
2022-08-22,249
2022-08-23,273
2022-08-24,231
2022-08-25,277
2022-08-26,297
2022-08-27,306
2022-08-28,284
2022-08-29,259
2022-08-30,283
2022-08-31,293
2022-09-01,302
2022-09-02,289
2022-09-03,299
2022-09-04,251
2022-09-05,254
2022-09-06,339
2022-09-07,261
2022-09-08,301
2022-09-09,364
2022-09-10,272
2022-09-11,260
2022-09-12,314
2022-09-13,326
2022-09-14,308
2022-09-15,333
2022-09-16,350
2022-09-17,262
2022-09-18,295
2022-09-19,294
2022-09-20,288
2022-09-21,335
2022-09-22,279
2022-09-23,322
2022-09-24,287
2022-09-25,284
2022-09-26,260
2022-09-27,228
2022-09-28,284
2022-09-29,315
2022-09-30,328
2022-10-01,328
2022-10-02,246
2022-10-03,324
2022-10-04,270
2022-10-05,244
2022-10-06,336
2022-10-07,323
